ID,sta_seq,collect_date,chemparameter,value,uom,station_type,duplicate,name,ylat,xlong,sbasn,major,mbasn
43,14128,11/9/2011,Total Nitrogen,0.415,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
44,14128,7/8/2011,Total Nitrogen,0.46,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
45,14128,11/9/2011,Ortho Phosphate,0.038,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
46,14128,7/8/2011,Total Suspended Solids,NA,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
47,14128,7/8/2011,Total Phosphorus,0.039,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
48,14128,7/8/2011,Total Kjeldahl Nitrogen,0.378,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
49,14128,7/8/2011,Organic Nitrogen,0.347,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
50,14128,11/9/2011,Magnesium,3740,ppb,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
51,14128,7/8/2011,Nitrite,NA,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
52,14128,11/9/2011,Nitrite,0.011,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
53,14128,11/9/2011,Nitrate,0.026,ppm,River/Stream,0,Bantam River,41.6884,-73.2668,6705,Housatonic,6
54,14129,8/25/2011,Ammonia,0.016,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
55,14129,8/25/2011,Calcium,10900,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
56,14129,10/20/2011,Nitrate,0.382,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
57,14129,9/28/2015,Nitrate/Nitrite,2.08,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
58,14129,8/25/2011,Total Nitrogen,1.1,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
59,14129,9/28/2015,Magnesium,3880,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
60,14129,9/28/2015,Total Kjeldahl Nitrogen,NA,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
61,14129,6/10/2015,Hardness,39.7,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
62,14129,6/10/2015,Calcium,11800,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
63,14129,6/10/2015,Silica,8.426,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
64,14129,8/25/2011,Nitrate/Nitrite,0.948,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
65,14129,10/20/2011,Total Phosphorus,0.016,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
66,14129,6/10/2015,Nitrite,NA,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
67,14129,6/10/2015,Alkalinity,12,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
68,14129,10/20/2011,Chloride,17.1,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
69,14129,8/25/2011,Total Suspended Solids,3,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
70,14129,10/20/2011,Total Suspended Solids,2,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
71,14129,10/20/2011,Alkalinity,12,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
72,14129,8/25/2011,Ortho Phosphate,0.007,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
73,14129,8/25/2011,Chloride,48.2,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
74,14129,10/20/2011,Total Solids,88,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
75,14129,10/20/2011,Calcium,6170,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
76,14129,8/25/2011,Total Solids,160,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
77,14129,6/10/2015,pH,6.9,None,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
78,14129,6/10/2015,Total Nitrogen,0.869,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
79,14129,9/28/2015,Nitrite,NA,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
80,14129,6/10/2015,Nitrate,0.735,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
81,14129,10/20/2011,Organic Nitrogen,0.108,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
82,14129,6/10/2015,Nitrate/Nitrite,0.736,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
83,14129,10/20/2011,Silica,7.998,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
84,14129,9/28/2015,Ammonia,0.004,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
85,14129,9/28/2015,Calcium,17300,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
86,14129,8/25/2011,Hardness,37,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
87,14129,10/20/2011,Ammonia,0.009,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
88,14129,8/25/2011,Total Phosphorus,0.009,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
89,14129,8/25/2011,Magnesium,2390,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
90,14129,10/20/2011,Nitrate/Nitrite,0.382,ppm,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
91,14129,6/10/2015,Magnesium,2510,ppb,River/Stream,0,Beacon Hill Brook,41.4684,-73.0501,6918,Housatonic,6
