M. BASIN #,COUNT,MIN,Q1,MEAN,MEDIAN,SE MEAN,STDEV,Q3,MAX
0,1523,0.1,0.9,2.2838279711096527,1.5,0.08553089065946438,3.3378971150131194,2.6,65
1,41,0.5,0.9,1.4731707317073173,1.2,0.13525154479276041,0.8660324446127589,1.7,4
2,36,0.4,1,1.8750000000000004,1.45,0.3057225373459893,1.8343352240759359,2.1500000000000004,11.4
3,308,0.4,1.2,2.1584740259740265,1.6,0.09192111934875472,1.6132090974690871,2.6,10.2
4,517,0.1,0.6,2.0507736943907138,1.04,0.19978679512888942,4.542679026034115,2,65
5,144,0.5,1.4,3.150694444444443,2.1,0.25858979774207574,3.103077572904909,3.9,28.2
6,348,0.2,1,2.5990804597701143,1.6,0.16906082839204392,3.153788858883587,2.9,34
7,120,0.4,0.95,1.9944166666666667,1.55,0.1286499493410427,1.4092895855197194,2.6500000000000004,7.7
8,9,0.4,0.7,3.088888888888889,1.6,1.0091862019089721,3.0275586057269166,6.2,7.6
