"MajorBasin","value.Min.","value.1st Qu.","value.Median","value.Mean","value.3rd Qu.","value.Max.","# of Samples"
"Connecticut", 0.200000, 0.800000, 1.200000, 2.234490, 2.125000,50.000000, 412
"Housatonic", 0.100000, 1.085000, 1.600000, 2.577212, 2.900000,34.000000, 330
"Hudson", 0.400000, 1.300000, 1.800000, 3.412500, 6.475000, 7.600000,   8
"Pawcatuck", 0.500000, 0.900000, 1.200000, 1.478947, 1.675000, 4.000000,  38
"South Central Coast", 0.500000, 1.400000, 2.100000, 3.135766, 3.800000,28.200000, 137
"Southeast Coast", 0.400000, 1.000000, 1.400000, 1.868571, 2.150000,11.400000,  35
"Southwest Coast", 0.400000, 0.900000, 1.500000, 1.995804, 2.625000, 7.700000, 112
"Thames", 0.400000, 1.200000, 1.600000, 2.191607, 2.600000,10.200000, 280
"Total", 0.100000, 1.000000, 1.600000, 2.357078, 2.700000,50.000000,1352
