M. BASIN #,COUNT,MIN,Q1,MEAN,MEDIAN,SE MEAN,STDEV,Q3,MAX
0,1523,0.001,0.012,0.03879776756401859,0.019,0.002201234127122121,0.08590455431643883,0.033,1.32
1,41,0.008,0.014,0.024731707317073182,0.023,0.0019114623409278162,0.01223933084413503,0.033,0.055
2,36,0.008,0.015,0.03341666666666665,0.0195,0.00906452837180041,0.05438717023080246,0.033,0.339
3,308,0.006,0.014,0.032483766233766184,0.02,0.0020162075395817884,0.035384298714843374,0.034,0.333
4,517,0.001,0.008,0.03915860735009672,0.014,0.005015359206098124,0.11403740201583816,0.026,1.32
5,144,0.005,0.017,0.04751388888888888,0.026,0.004526212035205272,0.05431454442246326,0.047,0.323
6,348,0.006,0.014,0.044037356321839055,0.02,0.005367669216797896,0.10013257083334069,0.0325,0.92
7,120,0.006,0.0195,0.03579999999999998,0.026,0.002351607114806588,0.025760565263384185,0.046,0.131
8,9,0.011,0.011,0.017666666666666664,0.018,0.002285218200133681,0.006855654600401044,0.022,0.03
