M. BASIN #,COUNT,MIN,Q1,MEAN,MEDIAN,SE MEAN,STDEV,Q3,MAX
0,1479,0.2,22,51.660919540229884,36.5,1.1697728564776837,44.986854350767274,68.5,325
1,41,8,10.9,16.212195121951222,13.4,1.3009620976554197,8.330221939478898,17.1,43.5
2,36,6.2,22.15,33.38611111111111,30.849999999999998,2.952201634125988,17.713209804755927,42.25,72.3
3,306,4.6,22.5,41.57712418300654,29.45,2.53205118180591,44.292805909189354,41.6,325
4,480,0.2,12.7,39.18229166666666,23.2,2.0997392714747063,46.002982554646415,40.6,240
5,141,8,34.7,78.33191489361701,83.4,3.599507356693484,42.74178169818804,109,172
6,346,6.6,36.9,63.34768786127171,49.9,2.0820199961552865,38.72781059496004,79.1,246
7,120,29.2,52.2,77.3475,70.95,3.1981091145023965,35.03353006751669,100.55,241
8,9,24.3,38,85,39.8,23.565759058430515,70.69727717529155,138,217
