M. BASIN #,COUNT,MIN,Q1,MEAN,MEDIAN,SE MEAN,STDEV,Q3,MAX
0,1523,0.005,0.251,0.588626395272489,0.419,0.015098089730333086,0.5892125028106612,0.721,6.625
1,41,0.181,0.273,0.38992682926829264,0.36,0.02374956713967293,0.15207142898057846,0.454,0.865
2,36,0.169,0.4135,0.7703055555555557,0.527,0.12871018767687575,0.7722611260612545,0.821,4.616
3,308,0.07,0.29,0.6344318181818182,0.4515,0.03840234176837668,0.6739583628199328,0.678,6.625
4,517,0.005,0.176,0.4938027079303677,0.297,0.0288794234049571,0.656649759565051,0.574,5.83
5,144,0.086,0.441,0.9426319444444444,0.976,0.04477193973526387,0.5372632768231664,1.27,2.526
6,348,0.018,0.2615,0.5517672413793103,0.4425,0.021947449000439243,0.40942435215086415,0.7155,2.86
7,120,0.101,0.3285,0.5851583333333331,0.4835,0.03522969446312942,0.3859219670294167,0.705,1.856
8,9,0.124,0.177,0.454,0.378,0.09891115542074445,0.29673346626223335,0.7,0.836
