"LabID","ammonia","nitrate","nitrite","Sum.of.Dissolved","tNitro","FLAG..D_sum...T_sum","Ortho.Phosphate","Total.Phosphorus","FLAG..Ortho...T_Phos"
"140294",0.204,12.138,0.054,12.396,14.835,FALSE,1.785,2.136,FALSE
"140295",0.215,12.464,0.013,12.692,14.571,FALSE,0.31,0.613,FALSE
"140304",0.151,3.854,0.018,4.023,5.773,FALSE,0.35,0.614,FALSE
"140329",0.007,1.346,0.004,1.357,1.84,FALSE,0.013,0.031,FALSE
"140330",0.188,4.665,4.665,9.518,9.485,TRUE,0.178,0.392,FALSE
"140331",0.167,9.249,0.003,9.419,14.736,FALSE,0.218,0.386,FALSE
"140332",0.147,7.38,0.003,7.53,11.919,FALSE,0.292,0.698,FALSE
"140333",0.317,3.853,0.016,4.186,7.514,FALSE,0.207,0.439,FALSE
"140351",0.073,0.143,0.003,0.219,1.545,FALSE,0.051,0.129,FALSE
"150156",0.209,1.4,0.024,1.633,3.976,FALSE,0.085,0.264,FALSE
"150157",0.009,0.003,0,0.012,0,TRUE,0,0.007,FALSE
"150171",0.087,2.085,0.021,2.193,3.747,FALSE,0.081,0.218,FALSE
"150172",0.501,7.292,0.059,7.852,10.528,FALSE,0.495,0.806,FALSE
"150201",0.408,6.942,0.057,7.407,9.83,FALSE,0.207,0.396,FALSE
"150204",0.543,4.404,0.036,4.983,8.01,FALSE,0.247,0.548,FALSE
"150216",0.167,0.913,0.008,1.088,1.283,FALSE,0.028,0.062,FALSE
"150217",0.342,3.127,0.032,3.501,4.255,FALSE,0.188,0.532,FALSE
"150228",0.143,1.262,0.036,1.441,2.814,FALSE,0.101,0.198,FALSE
"150230",0.009,0.152,0,0.161,0.434,FALSE,0.018,0.033,FALSE
"150256",0,0,0,0,0,FALSE,0,0.005,FALSE
"150257",0.19,6.067,0.105,6.362,8.133,FALSE,0.089,0.456,FALSE
"150275",0.042,1.667,0,1.709,2.315,FALSE,0.047,0.074,FALSE
"150305",0.025,0,0,0.025,0.437,FALSE,0.011,0.038,FALSE
"150330",0.077,1.525,0.005,1.607,2.615,FALSE,0.064,0.218,FALSE
"150348",0.044,1.574,0,1.618,2.802,FALSE,0.115,0.383,FALSE
"150372",0.296,11.949,0.027,12.272,16.874,FALSE,0.64,0.861,FALSE
"150384",0.237,11.591,0.072,11.9,15.406,FALSE,0.807,1.375,FALSE
"150412",0.32,7.627,0.061,8.008,10.717,FALSE,0.524,1.012,FALSE
"150413",0.297,9.213,0.009,9.519,12.923,FALSE,1.137,1.65,FALSE
"150414",0.266,6.381,0.01,6.657,11.158,FALSE,0.264,0.694,FALSE
"150459",0.035,1.876,0.004,1.915,2.417,FALSE,0.023,0.058,FALSE
"150462",0.088,0.058,0,0.146,0.171,FALSE,0.004,0.023,FALSE
