M. BASIN #,COUNT,MIN,Q1,MEAN,MEDIAN,SE MEAN,STDEV,Q3,MAX
0,1479,0.2,13,31.393621365787673,23.1,1.0273640265421689,39.51012845898777,38.9,541.2
1,41,4.3,6.4,10.100000000000001,8.2,0.8786838827779069,5.62632206685682,10.2,29.2
2,36,4.4,15.600000000000001,27.561111111111117,21.35,3.3635659407454024,20.181395644472413,29.4,78.2
3,306,1.3,14,42.05620915032681,22.35,4.228599662738295,73.97028364795818,35.4,541.2
4,480,0.2,8.6,24.130116666666655,18.25,1.0200754732886466,22.348733883118012,31.35,111.9
5,141,3.3,17.4,34.592198581560275,30.4,1.697629037050995,20.158227922832282,46.6,91.5
6,346,0.8,15.6,29.706358381502895,26.55,1.1207798584428772,20.847710471837612,40.3,134.8
7,120,13.3,25.700000000000003,43.21258333333333,36.650000000000006,2.302990825782665,25.228000500172314,51.150000000000006,124.3
8,9,7.9,12.2,25.755555555555553,19,5.707721648762585,17.123164946287755,37.3,56.1
